Codice;Descrizione;Listino
FDA-097;NIDO DI RONDINE 10CM 333-96-07;3
FDA-098;NIDO DI MERLO 15CM 334-96-07;3
FDA-099;NIDO DI GUFO 20CM 335-72-07;5
FDA-100;SYND UOVA ASSORTIMENTO 23CM 24 PZ. EGG ASSORTMENT 363-24-07;4
FDA-1002;AMPLIAMENTO IMPIANTO REFRIGERANTE;0
FDA-101;NIDO DI FALCO 25CM 336-48-07;6
FDA-102;ESPOSITORE MEODELLO ZEN USATO;0
FDA-103;TUBO COLLEGAMENTO COIBENTATO CON RACCORDI;25
FDA-104;CORNICE DI TAMPONAMENTO IN ACCIAIO/ALLUMINIO PER MOD. LEONARDO;20
FDA-48;BASAMENTO CARRELLATO IN LAMIERA ZINCATA TITANO;0
FDA-70;FATTURA REBATE PROMO SPRING25 - DA PAGARE;0
FDA1LJ7119;LASTRA COESTRUSA 30/10 780 * 2260 PMMA RAL 6019;0
FDA1LJ7120;LASTRA COESTRUSA 30/10 1100 * 2260 PMMA RAL6019;0
FDA1LJ7121;LASTRA COESTRUSA 65/10 845 * 780  PMMA RAL6019;0
FDAPANTRUC120-90;PANNELLO IN TRUCIOLARE 12 MM 1200*900MM;0
FDAPANTRUC160-90;PANNELLO IN TRUCIOLARE 12MM  1600*900MM;0
